hour_utc,campaign_id,reason_group,req_vol
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,4.4E7
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,4.1309E7
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,bid_submitted,2.6E7
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,category_blocked,7400000.0
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,2200000.0
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,targeting filter,1800000.0
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,no available deal,1200000.0
2026-03-28 12:00:00,BhTo5PHbtcsuQwkh,blocked advertiser/app,300000.0
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,budget_overspent,4.7001E9
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,bid_submitted,5.566E8
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,loss-based throttler,3.448E8
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,campaign_cap,2.465E8
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,category_blocked,1.541E8
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,inv format freq cap,5.63E7
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,targeting filter,4.75E7
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,no compatible creatives,1.84E7
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,1.77E7
2026-03-28 12:00:00,VveaqT1OAcxlbXSv,no available deal,300000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,bid_submitted,8.27E7
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,campaign_cap,5.02E7
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,4.1416E7
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,9800000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,category_blocked,7000000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,4100000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,budget_overspent,3806000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,targeting filter,2200000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,blocked advertiser/app,800000.0
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,no available deal,100000.0
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,bid_submitted,2.3765E9
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,campaign_cap,6.31E8
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,loss-based throttler,4.653E8
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,category_blocked,2.82E8
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,inv format freq cap,1.641E8
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,targeting filter,9.45E7
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,4.4E7
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,no compatible creatives,3.02E7
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,no available deal,200000.0
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,bid_submitted,2.783E8
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,1.71975E8
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,campaign_cap,1.14E8
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,category_blocked,3.88E7
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,3.58E7
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,8400000.0
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,targeting filter,3900000.0
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,no available deal,900000.0
2026-03-29 00:00:00,BhTo5PHbtcsuQwkh,blocked advertiser/app,700000.0
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,bid_submitted,3.4721E9
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,campaign_cap,4.936E8
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,loss-based throttler,4.805E8
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,category_blocked,2.28E8
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,inv format freq cap,1.048E8
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,targeting filter,9.73E7
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,blocked advertiser/app,3.49E7
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,no compatible creatives,2.98E7
2026-03-29 00:00:00,VveaqT1OAcxlbXSv,no available deal,100000.0
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,bid_submitted,4.317E8
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,no compatible creatives,1.83731E8
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,campaign_cap,1.394E8
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,loss-based throttler,5.23E7
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,category_blocked,4.15E7
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,inv format freq cap,7800000.0
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,targeting filter,3600000.0
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,no available deal,1300000.0
2026-03-29 06:00:00,BhTo5PHbtcsuQwkh,blocked advertiser/app,800000.0
2026-03-29 06:00:00,VveaqT1OAcxlbXSv,bid_submitted,1.1351E9
2026-03-29 06:00:00,VveaqT1OAcxlbXSv,campaign_cap,1.365E8
